Linux 3.0.101-0.15-default (axle) 	11/18/2014 	_x86_64_

04:31:50 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:32:50 PM     all      6.90      0.00      5.69      0.00      0.00     87.41
04:33:50 PM     all      7.72      0.00      5.01      0.00      0.00     87.27
04:34:50 PM     all      4.14      0.00      2.83      0.00      0.00     93.03
04:35:50 PM     all      5.07      0.00      1.36      0.00      0.00     93.58
04:36:50 PM     all      5.21      0.00      1.12      0.00      0.00     93.67
04:37:50 PM     all      5.71      0.00      0.60      0.00      0.00     93.69
04:38:50 PM     all      5.04      0.00      1.27      0.00      0.00     93.69
04:39:50 PM     all      5.21      0.00      1.16      0.00      0.00     93.63
04:40:50 PM     all      5.25      0.00      1.05      0.00      0.00     93.70
04:41:50 PM     all      5.13      0.00      1.23      0.00      0.00     93.64
04:42:50 PM     all      4.23      0.00      2.16      0.00      0.00     93.62
