ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1416325523.5836,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_operator,0,0,360717,1610754,0,0,0,0,0,0,62147,1091755,47248,758184,,,,
1416325523.5836,pg_catalog,pg_aggregate,0,0,24387,24387,0,0,0,0,0,0,4791,19596,9685,33638,,,,
1416325523.5836,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,public,region,6497,32460,16,16,5,0,0,0,5,0,4,6506,8,14,,,,
1416325523.5836,pg_toast,pg_toast_12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_description,0,0,6186,0,0,0,0,0,0,0,0,0,2120,11603,0,0,0,0
1416325523.5836,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_ts_parser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,public,orders,17,165105000,4746101,12723954,15015000,0,15000,0,15000000,15000,2062193,7500162,106932,14314691,,,,
1416325523.5836,pg_catalog,pg_shseclabel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_foreign_table,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,public,lineitem,27,1080285489,841148,97069878,60045669,0,60340,0,59985788,60340,19169871,14749655,573313,4480510,,,,
1416325523.5836,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416325523.5836,information_schema,sql_parts,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1416325523.5836,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1416325523.5836,pg_catalog,pg_ts_template,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_foreign_server,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_default_acl,0,0,5444,0,0,0,0,0,0,0,0,0,607,4837,,,,
1416325523.5836,pg_toast,pg_toast_12198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,public,nation,18,250,3314457,3314505,25,0,0,0,25,0,4,3314465,9,3314466,,,,
1416325523.5836,pg_toast,pg_toast_12208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1416325523.5836,pg_catalog,pg_attribute,4829,32047,1378246,2764107,10137,332,9956,296,2425,22,104410,1383016,46095,2818797,,,,
