BEGIN;
BEGIN
select
	s_name,
	s_address
from
	supplier,
	nation
where
	s_suppkey in (
		select
			ps_suppkey
		from
			partsupp
		where
			ps_partkey in (
				select
					p_partkey
				from
					part
				where
					p_name like 'thistle%'
			)
			and ps_availqty > (
				select
					0.5 * sum(l_quantity)
				from
					lineitem
				where
					l_partkey = ps_partkey
					and l_suppkey = ps_suppkey
					and l_shipdate >= '1996-01-01'
					and l_shipdate < cast(date '1996-01-01' + interval '1 year' as date)
			)
	)
	and s_nationkey = n_nationkey
	and n_name = 'ETHIOPIA'
order by
	s_name;
          s_name           |                s_address                 
---------------------------+------------------------------------------
 Supplier#000000002        | 89eJ5ksX3ImxJQBvxObC,
 Supplier#000000078        | 9y3OZ2CV hGrsrQxzB7V3zTtygHVHlG3SD6yrz
 Supplier#000000150        | kZajmmtJB4g,nNlaHxUvXLfZW0hVtnR35LKA
 Supplier#000000193        | 0HvoBt,qEF EaKzYNCl
 Supplier#000000224        | iD7eF,uwQxxPCAFTmdXYV7N
 Supplier#000000231        | uZfFnyAs9oFJ0No97rtQ OIV1AOYi
 Supplier#000000298        | oIB13yXjsqGSW
 Supplier#000000360        | 3avxIDL4YPrZVHie4rOiPrK8Z IJwEPqZaioHK
 Supplier#000000393        | hxGMP2tFry WHEeI5cmEFVF027E
 Supplier#000000434        | endL6N 85uU0NemLv4L3mSEH4LT2BF
 Supplier#000000447        | UHeJiRfImFw1r4MTrBk0vcwUx9
 Supplier#000000462        | Bg,C2gIsljPAG
 Supplier#000000487        | BvDBcJa,jQPslM
 Supplier#000000637        | V6AMGzXQ7Eqs
 Supplier#000000700        | K5l3kvvjnRQJJ,
 Supplier#000000723        | ZFI9Pb HTy,8e,mY0mqP6ThbN
 Supplier#000000751        | 20kEocUg39iam9T EzquK P7grgp,QD
 Supplier#000000790        | HSYD9,gCfAwpsgCLKGhf,Z4SH8GSYOc
 Supplier#000000864        | D95VTylwusz7OYesg,
 Supplier#000001068        | ,yIRtm8YNahsojbY4zSe57Bs
 Supplier#000001132        | 0rxuQ74Sqy
 Supplier#000001250        | uum91lnpIZa9Yv3Z IMXbf7TyYlwPYI1ApCYtx
 Supplier#000001322        | vlYKC9ekkzEycaHik
 Supplier#000001463        | yD5,1wUkwuvV4gWRloVVudgeUpO03et0
 Supplier#000001531        | SRV0tsqpwsgBHM,0LJRj9NWJ9SBDl4PSL
 Supplier#000001580        | gqwJchO919h1NPd8IBWvNahMtg
 Supplier#000001668        | oD5tUdEIM5vtt92IQAn2HVQh1QP2BPVNZKNSZCj
 Supplier#000001727        | YI0bCXSwEXpz,SUoF iveZ
 Supplier#000001737        | PYmhWHl0BbjFYyExQIJsL ,6LFobxXaOQPH
 Supplier#000001780        | 5VXXjHsRuGrU HNS2xdoUCPw5LMlrJVcUOd5ED
 Supplier#000001792        | YbJ7B5b4NQ6UTAJEKm,vkRSI
 Supplier#000001820        | KpXwAkf9mJGAhkUcJUmWO7ggW3lI
 Supplier#000001847        | 0GAs3udWD8IfclOsoK22YxTDtHj
 Supplier#000001850        | u8APqIJf3BcRLnul4AsNH7ha
 Supplier#000001861        | LRsUq9GH8A5e
 Supplier#000001935        | lxfvnpWQ dvSWd6mSA Q1tDjspDq CP7y
 Supplier#000001975        | nBmdXXmMEmKhYwO2PWWjQur
 Supplier#000002084        | ,zeVVYFb6hYoWyJ4kjqm8hT5lzLlW
 Supplier#000002153        | fvGJKuSkubeTJU8wOG5M
 Supplier#000002217        | OKKxE,bL1tm2olSlad
 Supplier#000002219        | ShNYaJlJuC
 Supplier#000002233        | pyKMeYFHVDx61EeR
 Supplier#000002326        | wTAOL2UlxXNMMWniK6djM0C mT
 Supplier#000002346        | tzwxlyYXGiMe1mk099ty6vn
 Supplier#000002353        | tJfE2O3Jwt
 Supplier#000002404        | g4LXlcHDN4z6DrdiBb0iCyLA
 Supplier#000002414        | W6uBF44GHsJFPwnG,VBH8a e
 Supplier#000002461        | 3AxwmIx6iSzuXKNRqSNcSMDS13zWQU
 Supplier#000002510        | J3xtZTxnkUrG0KjE 9ru76PJGpGINiciqU31
 Supplier#000002551        | VXntNh4UX,Z8dJ
 Supplier#000002554        | tFdJFJR46eF3X tG0xnfsTQ
 Supplier#000002580        | qrs2ub3wSjbzv1kc0a4k
 Supplier#000002592        | 2  ZDHmKO7y9Io 57xTjfk6
 Supplier#000002595        | k5XWWSZmvUScjcqYMk6k7L
 Supplier#000002635        | QWtNr1h9jyotgBhsFgHlZ4QbqV
 Supplier#000002770        | Y4O7cs1mRjv5ih 0nt RFI2qwNK
 Supplier#000002958        | XNcxw,EjCJrTOqk3
 Supplier#000002964        | yJHDv1tHUT3zS8S
 Supplier#000002979        | l YrwL2c5fBzytrU1
 Supplier#000003036        | SifDb5Zv8PqS
 Supplier#000003103        | r7vLesukWuV32ZGgbffKoPiqaopP3,IG
 Supplier#000003157        | Iu8Z1STN zdULK
 Supplier#000003190        | uKuj uR2JS0HGJsmDHiCrOj6vFLxVMq
 Supplier#000003197        | xN7urTEvf3bME1qOMJ,CRmm
 Supplier#000003204        | yLDdPfluaEjCpzYhBsrr2H1O4
 Supplier#000003221        | GihgWugZHILgmhYn 6Im0XNnuIr
 Supplier#000003259        | AIEQ9swZsDtAQyho3YAjeQY3kplxytz
 Supplier#000003433        | U,Ccsi8VrSqtkZ1BnPJkpzuViKtuIVOmirXtwu
 Supplier#000003486        | DgPB,ASUAF
 Supplier#000003493        | Vmw05lwtM79PgWdM0GX5u9i30NuLiuln
 Supplier#000003536        | vzCsRjennl78FjFMURrgihVJ3lie8kOJ
 Supplier#000003621        | fW1IcCOBk55bSqBA
 Supplier#000003733        | 4GFmXZviw 5
 Supplier#000003747        | 3nI7yfkXomumy7LI,Udb9m6ULcOt
 Supplier#000003749        | L7rz3XecCb63AYwHpccbb2FcKXLtN s
 Supplier#000003764        | 888kpdqayPqPBrSZ2aKNh9fSY,aaFPQb
 Supplier#000003920        | AxtQY7SssyEibvtT29eBgbhEb3Dtt2iFW
 Supplier#000003939        | NFxpr5yBocaAYJg84CIsv8GIdKt
 Supplier#000003948        | XYiD 7s4dikkL8B9
 Supplier#000004032        | qX8BzAlJRPpdy2
 Supplier#000004039        | 0q,Nz9X3EzkAA9PAbCH1KxfAF
 Supplier#000004254        | jRDRD68ax iCiF,Zz7ZVu ROeotx,i
 Supplier#000004310        | cROEuV4qJQZ2X
 Supplier#000004340        | eKNZibEcZCqmfFZ7
 Supplier#000004352        | Yo FjewjVfTpLnoQ
 Supplier#000004478        | zkONvYIl3m8
 Supplier#000004531        | rA16jlU8ajPt5BbTjk
 Supplier#000004536        | YksS84J0LnT9,c1,cR
 Supplier#000004621        | YYLVWPlth5Ve7LGwPoWC8e2Osnb8cunXrS2jW3b
 Supplier#000004641        | 7GGTBs43lKTN1p0lajBHHAVMYh
 Supplier#000004673        | 2atTtfdPLk9
 Supplier#000004681        | qnXYjdfzSKQYH6A8N
 Supplier#000004706        | G bSXMhb0,QoBh
 Supplier#000004738        | BcoxAylgpwUi5
 Supplier#000004774        | s3Q0WRzpHmSxgHAzXFD
 Supplier#000004790        | hGIMs7QWh3p1PRq20onLaIKv
 Supplier#000004792        | UUyeceVcL,KJaeb49OzQJwebcJA
